ID Ticket AgID;Richiesta;Risposta;Note Integrative
80793c97d2194574b447d3b7a95404d1;"Nel sequence diagram della SCIA, appena prima del passo 7, c'è un loop con la nota ""per ogni procedimento di interesse parte dell'istanza"".
Ma una istanza non è una pratica? Una pratica non è composta da un solo procedimento?
Se nella chiamata al servizio /instance/{cui_uuid}/document/{resource_id} del BO uso (come indicato nella nota) il resource_id di instance_index, che è unico, come posso discriminare per recuperare i vari documenti della pratica (SUAP, MDA, ricevuta) ?";"Una pratica è riconducibile ad una Istanza di un Procedimento SUAP. Tale Istanza, identificata dal CUI e rappresentata dal suo Instance Decriptor, sarà composta da uno o più Fattispecie (usecase_proceedings) che avviano uno o più procedimenti amministrativi sulla base dei dati inseriti nel modulo d'istanza presentato.
Per recuperare un documento associato ad una istanza è necessario:
 - recuperare il suo resource_id dall'instance-index (un array di oggetti contenenti vari resouce_id, univoci, per ogni singolo documento) 
 - invocare il servizio ""/instance/{cui_uuid}/document/{resource_id}"", indicando il resource_id specifico.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
53fad824831e4987b0e0b5f7246327da;"Nel sequence diagram della SCIA, nel servizio /request_integration esposto dal BO, occorre valorizzare l'oggetto AdministrationSchema che contiene ipacode, officecode e version.
Come possiamo trovare gli ultimi 2?

Oltre all'oggetto integration_list, è opzionale l'oggetto integration_document_list, in cui è possibile indicare il resource_id.
Questo è perché si può chiedere una integrazione su un documento esistente?
Però nell'attributo title del resource_id è scritto: id della risorsa ""documento di richiesta integrazioni"", univoco per erogatore e CUI.UUID.
Non mi è chiara questa frase: cos'è l'erogatore? Se il resource_id è univoco allora è possibile richiedere integrazioni solo sulla pratica nel suo complesso e non su un singolo allegato?";"L'oggetto AdministrationSchema rappresenta l'Amministrazione competente censita nel Catalogo SSU e riporta gli attributi:
 - ipacode
 - officecode
 - version.
Per recuperare tale oggetto è possibile invocare il servizio ""catalogo-ssu_meta/proceeding/{proceeding_id}/{proceeding_version}/{municipality}/competent-administration"" che ritornerà proprio l'oggetto ""AdministrationSchema"" .
 
Nel sequence diagram SCIA, al passo 11, un ET può effettuare una richiesta di integrazione mediante il servizio ""/request_integration"" e può associare dentro tale richiesta uno o più documenti di richiesta integrazioni, identificati da un loro resource_id univoco. A seguito di tale richiesta il BO può procedere col recupero di tale documento di richiesta integrazioni mediante il servizio ""/instance/{cui_uuid}/document/{resource_id}"", riportato al passo 13.

Si vuole precisare che la dicitura ""univoco per erogatore e CUI.UUID"" intende dire che il resource_id è assolutamente univoco indistintamente dall'erogatore (FO, BO, ET) o dal cui ad esso associato.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
093b7407ea6c41cc854b54f8853b53c7;Nel sequence diagram della SCIA, nel passo 13, in caso l'ET abbia richiesto integrazioni a più di un documento già presente, il BO dovrà invocare per ognuno il servizio /instance/{cui_uuid}/document/{resource_id} di ET?;"Il servizio invocato dal BO al passo 13 è finalizzato al recupero dei documenti creati dall'ET a seguito di una sua richiesta di integrazione. L'integrazione richiesta dall'ET può riportare una o più motivazioni e uno o più documenti identificati dal resource_id, effettuando un'unica richiesta cumulativa. Pertanto, la chiamata al servizio ""/instance/{cui_uuid}/document/{resource_id}"" ritornerà il singolo documento associato al resource_id indicato nel path.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
389f2c6c586d4e538d066412e106ba42;Nel sequence diagram della SCIA, nel passo 15, nella chiamata al servizio /audit, come deve essere la nomenclatura di <ET> nel campo message ?;"La chiamata al passo 15 per l'audit riporta come identificativo dell'ET il suo id (caratterizzato dalla regex [0-9]{1,10}), recuperabile dall'oggetto ""GenericEntity"" restituito dal servizio ""catalogo-ssu_meta/proceedings-competent-administrations/{id_proceeding_list}"".

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";"Richiedente
Forse mi sono espresso male: ho visto che la codifica deve essere [0-9]{1,10}, ma volevo capire quale valore indicare. Deve essere una codifica dell'ET stabilita a livello nazionale o in altro modo? Chi lo stabilisce e dove recuperare l'elenco degli ET?

Operatore
La codifica dell'ET è definita dal suo ID che è gestito all'interno del Catalogo SSU ed è associato all'entità ""third-party-system"".
È possibile recuperare l'ET di proprio interesse a partire dall'elenco restituito dalla chiamata ""catalogo-ssu_meta/competent-administration/{competent_administration_ipacode}/{competent_administration_code}/{competent_administration_version}/third-party-system"".
Successivamente, sarà possibile utilizzare il suo ID come codifica dell'ET all'interno del messaggio di audit."
0f81e395d3a64447a708fc39f1945ac2;"Nel sequence diagram della SCIA, nel passo 17, il BO notifica all'ET il termine per fare richieste di integrazione ?
Chi valuta il tempo entro cui poter chiedere integrazioni?
Le tempistiche per le varie attività sono ritornate dal servizio /instance_descriptor/{cui_uuid} esposto dal Catalogo, nell'oggetto ""Times""? (Es: max_gg_int_req). Possiamo quindi far riferimento a quelle date per definire dei timer a beneficio degli operatori dell'ET?
La data ""start"" è la data di inserimento della pratica sul portale Impresa in un giorno? Contiene anche l'ora al secondo? (es: gg-mm-aaaa hh:mm:ss)
Se perviene al BO una richiesta di integrazione da parte di un ET oltre il termine, cosa succede?";"Nel passo 17 del sequence diagram della SCIA, il BO comunica all' ET che il termine per presentare eventuali richieste di integrazione è scaduto. Questo termine è stabilito in base al regime amministrativo che regola la specifica pratica in questione.
Se l'ET dovesse inviare una richiesta di integrazione dopo la scadenza di questo termine, tale richiesta non sarà presa in considerazione dal BO. In assenza di integrazioni richieste entro il termine stabilito, il BO procederà considerando il silenzio da parte dell'ET come un assenso implicito, permettendo così il proseguimento del processo amministrativo (silenzio-assenso).
Gli operatori dell'ET possono fare riferimento ai tempi indicati nell'oggetto ""Times"" fornito dal servizio ""/instance_descriptor/{cui_uuid}"" del Catalogo per gestire correttamente le scadenze. Ad esempio, il parametro ""max_gg_int_req"" dell'oggetto ""Times"" specifica il numero massimo di giorni che l'ET ha a disposizione per richiedere integrazioni a partire dalla data ""start"" (type DATE, pattern YYYY-MM-DD),  che corrisponde al momento in cui l'istanza è stata avviata. 

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";"Richiedente
Quindi non si tiene conto dell'ora ma solo del giorno.
Pertanto come dobbiamo considerare il seguente scenario?
Un'istanza è avviata in prossimità del termine di giornata, ad esempio alle 23.59, ma per problemi tecnici l'ET la riceve in ritardo e quindi tecnicamente il giorno dopo. In caso di sospensione/integrazione si perderebbe 1 giorno nel conteggio del numero di giorni massimo a disposizione dell'ET.
Stesso discorso nel caso opposto da ET verso BO.
In questi casi fa fede la data ""start"" comunicata dal Catalogo?

Operatore
La data di avvio del processo, indicata come ""start"", costituisce il punto di riferimento per il calcolo dei termini previsti per le procedure amministrative. Di conseguenza, qualora il Catalogo registri come data ""start"" il momento esatto in cui è stata inoltrata l'istanza (per esempio, alle 23:59 di un dato giorno X), tale data dovrebbe essere utilizzata per determinare i termini procedurali, a prescindere da eventuali ritardi tecnici che possano verificarsi in seguito."
c104b5f735404fb0bf1e08abb73692a5;"Nel sequence diagram della SCIA, nel passo 48, si dice di usare il resource_id in istance_index, ma se il documento da integrare era già esistente nella lista non dovremmo usare l'id specifico del documento?
Se invece il documento non era presente nella lista, oppure i documenti sono più di uno, come discriminare quale documento richiedere se si passa il resource_id generale presente in istance_index?";"Il servizio invocato al passo 48 del sequence diagram della SCIA, è finalizzato al recupero dei documenti di integrazione inviati dal presentatore. Ogni documento è identificato dal suo resource_id, riportato nell'instance_index trasmesso dal BO all'ET nell'oggetto SendInstanceRequest tramite il servizio ""send_instance"". 
E' importante chiarire che l'instance-index  è un array che contiene gli identificatori specifici di ciascun documento incluso nell'istanza. Pertanto, il resource_id a cui si fa riferimento è effettivamente specifico per ogni documento.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
ed65a398db504d36871e074cab2a6169;"Nel sequence diagram della SCIA, nel passo 56, il BO chiede all'ET il documento di richiesta sospensione. Al netto del fatto che non si capisce perchè ci debba essere una sospensione (si veda ticket aperto in precedenza),
come fa il BO a sapere che resource_id usare per avere il documento specifico della sospensione?";"
Nel passo 56 del sequence diagram della SCIA, il BO richiede all'ET il documento relativo alla richiesta di sospensione. Questa azione segue il passo 52, dove l'ET ha precedentemente inviato le sue conclusioni tramite la chiamata send_conclusions (NegativeOutcomeRequired). L'oggetto ""NegativeOutcomeRequired""  riporta il suo resource_id specifico per il recupero del documento generato per l'invio del parere. Il BO potrà recuperare tale documento, utilizzando il resource_id trasmesso dall'ET, utilizzando il servizio ""/instance/{cui_uuid}/document/{resource_id}"".

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
98afadefcbbb430eacb987f7182b31ce;Nel sequence diagram della SCIA, i passi 58, 60, 62 scattano a seguito di quale condizione?;"Nello scenario indicato  un ET, a seguito delle sue istruttorie, invia i suoi pareri al BO.  In particolare i passi 58, 60 e 62 ricadono nello scenario specifico dove un ET ha riscontrato una difformità normativa conformabile, pertanto non è intenzionato ad inviare un parere negativo (passo 52) ma invia al BO una richiesta di conformazione (passo 58), invia al Catalogo un audit per segnalare l'evento (passo 60) e il BO può recuperare il documento di richiesta di conformazione (passo 62).

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
935ad822726a4b4e94a685abda4ba4b4;"Nel sequence diagram della SCIA, non c'è l'evento di fine end_by_positive_outcome oppure end_by_negative_outcome.
Perchè?";"Nel regime SCIA i pareri espliciti trasmessi da un ET possono essere: 
 - parere negativo
 - richiesta di conformazione
Nel regime SCIA, dall’istante successivo all’invio della pratica, si è autorizzati a iniziare l’attività senza dover aspettare assensi o autorizzazioni da parte degli uffici pubblici.
Nel caso in cui l'istanza risulti essere conforme, è prevista l'archiviazione della pratica senza ulteriori comunicazioni e il presentatore recepisce un esito positivo implicito al termine dei tempi previsti dalla norma. Per il suddetto motivo, non è contemplato l'evento ""end_by_positive_outcome"" nel regime amministrativo SCIA bensì ""end_by_proceeding_time_expired"". 
Contrariamente, nel caso in cui si riscontrino dei pareri negativi che impediscono la prosecuzione dell'attività, è prevista la comunicazione di un provvedimento di divieto di prosecuzione dei lavori già avviati, trasmesso tramite l'evento ""end_by_suspension_requested"".

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
0f0bb8b789004f528af7123c2188a43a;"Nel sequence diagram della SCIA, se è stata richiesta una sospensione dall'ET, come procede poi l'iter della pratica?
Se invece è stata richiesta una conformazione dall'ET, come procede l'iter della pratica?

Nella pratica, in cosa differiscono i 3 eventi di sospensione, conformazione, integrazione?";"Nel sequence-diagram SCIA, a seguito di un parere negativo espresso dall'ET, trasmesso tramite il ""NegativeOutcomeRequired"" al passo 52, il BO potrà, opzionalmente, recuperare il documento trasmesso dall'ET (passo 56) e, ricadendo nella condizione ""concluso tempo istanza o tutti gli enti terzi hanno inoltrato conclusione, almeno una richiesta di sospensione"" (posta tra i passi 69 e 70), il BO procederà con l'invio delle conclusioni del procedimento tramite la chiamata al servizio ""/notify"" esposta dal FO, trasmettendo l'evento ""end_by_suspension_requested"". A seguito di tale invio, il BO notificherà il medesimo evento ad ogni ET interessato e si conclude il sequence-diagram con un evento di audit al Catalogo.

A seguito di una richiesta di conformazione inoltrata dell'ET (passo 58), il flusso di chiamate segue nel blocco ""concluso tempo istanza o tutti gli enti terzi hanno inoltrato conclusione, nessuna richiesta sospesione,almeno una richiesta conformazione"" dove, al passo il 77, il BO trasmette le conclusioni al FO e notificherà l'evento di conformazione agli ET interessati. Si evidenzia che è attualmente in corso l'aggiornamento del sequence-diagram SCIA per permettere al richiedente di comunicare l'avvenuta conformazione.
Tali aggiornamenti sono soggetti ad un processo di approvazione e la loro pubblicazione sarà realizzata nei modi previsti dalla norma.

Per chiarire il dubbio posto per i 3 eventi, riportiamo le seguenti descrizioni:
 - sospensione: la sospensione è una delle quattro conclusioni che un BO può comunicare al FO. A seguto della ricezione di motivi ostativi trasmessio da uno o più ET, in base alla normativa vigente, il BO trasmette una sospensione qualora ritenesse opportuno procedere con un divieto di prosecuzione.
 - conformazione: un Ente Terzo durante le istruttorie di propria competenza ha identificato degli aspetti non corretti ma conformabili e invia tale esito al BO indicando le sue segnalazioni di conformazione volte a sollecitare il presentatore a normalizzare ogni aspetto procedimentale;
 - integrazione: un ET coinvolto nelle istruttorie può identificare che determinate informazioni o documenti sono mancanti ma risultano essere necessari per procedere con l'istruttoria. Una richiesta di integrazione è volta a colmare tale mancanza e garantire quindi una corretta prosecuzione delle istruttorie.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
99cfe24694624b22b8b74c89b945ea07;"Nel file Yaml dei servizi esposti dal Catalogo per l'ET, nell'oggetto ""InstanceDescriptor"" c'è l'elemento non obbligatorio ""administrative_regime"" che contiene la tipologia di pratica (SCIA, AUTORIZZAZIONE, SILENZIO-ASSENSO, COMUNICAZIONE).
Perchè l'elemento non è obbligatorio, visto che contiene una informazione di base della pratica?
I seguence diagram che avete pubblicato riguardano solo le prime due tipologie di pratiche. Che iter dobbiamo seguire per le altre due?";"L'Instance Descriptor prevede come campi obbligatori solamente version, municipality e usecase_proceedings. Secondo quanto indicato dal ""modello-concettuale-catalogo-SSU.png"" (presente nella cartella ""image""), un procedimento ha cardinalità (0, n) con l'oggetto regime amministrativo. Nel rispetto di tale modello dati del Catalogo, l'attibuto ""administrative_regime"" non è stato segnato tra quelli ""required"" nella definizione dell'Instance Descriptor.

Alla base delle definizione e della stesura delle Specifiche Tecniche vi è stata un'analisi dettagliata sui procedimenti SUAP e nello specifico sui regimi amministrativi adottati dagli stessi. Sono state intraprese delle azioni di semplificazione, condivise con il Tavolo per la semlificazione amministrativa, volte a ottimizzare significativamente il percorso amministrativo per le imprese. Volendo ricondurre un regime amministrativo ad un sequence-diagram, è possibile tenere presente la seguente mappatura:
 - SCIA -> SCIA-001.mermaid
 - AUTORIZZAZIONE -> DomandaAutorizzazione-001.mermaid
 - SILENZIO-ASSENSO -> SCIA-001.mermaid
 - COMUNICAZIONE -> SCIA-001.mermaid

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
12945343dd934fa5a5de0b306a1ef94a;"Nel file Yaml dei servizi esposti dal Catalogo per l'ET, nell'oggetto ""InstanceDescriptor"" c'è l'elemento ""instance_status"" che contiene lo stato dell'istanza (started, presented, ecc.)
Perchè è un array e non un oggetto singolo?

Non tutti gli stati dell'istanza sono esplicitati nei due seguence diagram di Autorizzazione e SCIA. E' possibile avere uno schema/tabella della macchina a stati che li mostri tutti, esplicitando per ogni passaggio di stato le condizioni che lo determinano?";"L'""instance_status"" presente nell'Instance Descriptor è stato definito come un array di stati e timestamp, e non come un singolo record, con lo scopo di tenere traccia nello stesso tutte le lavorazioni svolte sull'istanza.  

In merito alla richiesta della macchina a stati per i regimi Autorizzazione e SCIA, si vuole far presente che al momento non è previsto tale oggetto  nelle Specifiche Tecniche o nel repository GitHub. Tuttavia, tutte le informazioni utili per ricreare tale oggetto sono disponibili negli artefatti già resi pubblici.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";"Richiedente
Chiedo scusa ma non ho trovato in nessun documento una descrizione degli scenari che fanno scattare i seguenti stati per l'istanza:
started
presented
correction_requested
corrected
refused
integrated

Operatore
Come indicato nel messaggio precedente, non è presente uno state-diagram nelle Specifiche Tecniche o nel repository GitHub. Al fine di comprendere gli scenari e gli eventi che fanno scattagli gli stati indicati nella richiesta, la invitiamo a consultare:
- la proprietà ""instance_status.state"" dell'Instance Descriptor per visualizzare tutti gli stati disponibili
- gli eventi gestiti nei messaggi di ""audit"" dei sequence-diagram"
6bcfa538d0bf4970ab03ac31f98e8faf;"Se l'ET vuole sapere in qualunque momento lo stato attuale di una istanza-pratica, deve richiamare il servizio ""/instance_descriptor/{cui_uuid}"" esposto dal Catalogo, dato che nell'oggetto ritornato ""InstanceDescriptor"" c'è l'elemento ""instance_status"" che contiene lo stato dell'istanza (started, presented, ecc.)
Non c'è altro modo, visto che il BO espone solo gli eventi (end_by_proceeding_time_expired, end_by_integration_times_expired, ecc.) e NON gli stati.
E' corretto?";"Confermiamo la sua assunzione in merito alla segnalazione posta. Ogni componente, per recuperare l'Instance Descriptor e i metadati ad esso associati, deve chiamare solo il Catalogo. Invocando il servizio ""/instance_descriptor/{cui_uuid}"", l'ET è in grado di recuperare l'Instance Descriptor alla sua ultima versione e verificare la lista degli stati gestisti nell'""instance_status"".

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
70a621766c0e49f8b47353194d5ad524;"Nel sequence diagram della SCIA e anche nello Yaml dei servizi esposti dal BO, come conclusione possibile che l'ET comunica al BO tramite il servizio /send_conclusions, manca la tipologia ""negative_outcome"".
Perchè?";"Confermiamo la sua assunzione in merito alla segnalazione posta e confermiamo che è attualmente in corso la riformulazione dell'attributo ""suspension_requested"" per mantenere una corretta concordanza con l'oggetto (NegativeOutcomeRequired) a cui è associato.
Tali aggiornamenti sono soggetti ad un processo di approvazione e la loro pubblicazione sarà realizzata nei modi previsti dalla norma.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
cc12c35768544d8da6cd1a96bf82ced5;"Vorrei alcuni chiarimenti sui significato dei parametri relativi ai giorni ritornati nell'oggetto ""times"" dal servizio ""/instance_descriptor/{cui_uuid}"" esposto dal Catalogo verso gli ET.

max_gg_proc:
indica il numero di giorni limite a partire da start entro cui l'istanza deve concludersi. Questo limite non è forse definito a monte dell'istruttoria, a partire dalla data di ""start""? Quindi il fatto che venga comunicato all'ET serve solo a informarlo del termine entro cui sicuramente l'istanza dovrà essere terminata rispetto a tutte le eventuali richieste da parte degli ET interessati a quell'istanza?
Infatti il termine di interesse per l'ET dovrebbe essere ""max_gg_concl_send"", o sbaglio?

max_gg_correction:
indica il numero di giorni limite a partire da start per la correzione a valle di un controllo formale. Chi è il soggetto che dovrebbe fare il controllo formale?

max_gg_admissibility:
indica il numero di giorni limite a partire da start per la verifica di ammissibilità. Questa verifica non viene svolta dal SUAP? In tal caso qual è il senso di comunicare questo limite all'ET?

max_gg_int_resp:
indica il numero di giorni limite a partire da start per integrazione del soggetto presentatore. Il ""soggetto presentatore"" è la persona che presenta l'istanza della pratica sul portale ""Impresa in un giorno"", corretto? Dunque perchè va comunicato questo limite all'ET, il quale scambia informazioni solo con il BO SUAP e non ha relazioni con il soggetto presentatore?

Infine, perchè l'oggetto ""times"" non è obbligatorio, visto che contiene i vincoli temporali cui l'ET deve attenersi?";"Di seguito riportiamo i chiarimenti in merito agli attributi ""times"" indicati nella richiesta.

max_gg_proc:
il presente attributo specifica la durata massima complessiva di tutto il procedimento SUAP avviato, espresso in giorni a partire dalla data di ""start"". Tali informazioni di scadenze procedimentali sono a disposizione nell'Instance Descriptor e solo ad avvenuta scadenza, determinati eventi, vengono notificati dal BO all'ET per gestire la corretta gestione e conclusione di un procedimento:
 - end_by_proceeding_time_expired
 - end_by_suspension_requested
 - end_by_conformation_requested
 - end_by_integration_times_expired
 - integration_request_time_expired
Sarà quindi interesse dell'ET essere a conoscenza dei termini massimi per la lavorazione del procedimento (max_gg_proc), per l'invio degli esiti (max_gg_concl_send), per la richiesta di integrazione (max_gg_int_req), per la richiesta di cdss (max_gg_cdss_req) e la sua data di convocazione (date_cdss).

max_gg_correction:
il presente attributo è di interesse del BO che è il soggetto incaricato ad effettuare i controlli formali.

max_gg_admissibility:
il presente attributo imposta il tempo massimo concesso al BO per effettuare le sue verifiche di procedibilità.

max_gg_int_resp:
il ""soggetto presentatore"" è il soggetto che presenta le istanze necessarie ad avviare i procedimenti amministrativi, corretto. 
Tale attributo è di interesse dell'ET quanto del BO, considerato il fatto che è l'ET che effettua tale richiesta al BO, per passarla al FO e quindi al presentatore. Una volta che è stata avviata tale richiesta, un ET rimarrà in attesa di un'integrazione e il BO avrà il compito di segnalare la sua scadenza sia al FO che agli ET interessati, svolgendo così il suo ruolo di coordinatore di un procedimento SUAP.

L'oggetto ""times"" non è impostato come obbligatorio perchè il BO imposta i tempi procedimentali in un secondo momento, solo a partire dalla data della ricevuta trasmessa al presentatore. Tale aggiornamento dell'oggetto ""times"" avverrà solo a seguito della chiamata ""/notify_receipt"" effettuata dal FO al BO per segnalare l'invio di tale ricevuta. 

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.



";n.a.
2da0462941b646bea1c416af00e75433;"Se l'ET, dopo il ricevimento di una pratica, ha necessità di rifiutarla poichè la valuta irricevibile per via dei controlli formali svolti internamente, con che modalità occorre comunicare l'evento al BO SUAP e con quali parametri?
Il conseguente provvedimento di irricevibilità risulta come prodotto dall'ET o dal BO SUAP?";"Un ET, se riscontra delle anomalie o difformità tali da rifiutare la pratica ricevuta, può comunicare al BO un suo esito negativo come risultato delle sue istruttorie.
Inoltre, si precisa che i controlli formali condotti su una pratica SUAP sono compito di un BO e, solo dopo che un'istanza viene ritenuta procedibile, questa può essere inviata agli ET.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
b6e12646eb9a49acb6bf4a42df69e540;"Buongiorno.
Avremmo necessità di sapere se esiste un repository aggiornato con tutte le modulistiche in formato xsd del SUAP. Nel caso anche degli schematron.
Al momento il nostro perimetro è quello dell'Ente Terzo ARPA ed ATS. E l'obiettivo e quello di avere sotto mano tutte i moduli del SUAP disponibili.
Per ora stiamo consultando il repository già comunicato tempo fa: https://github.com/AgID/specifiche-tecniche-DPR-160-2010
che però risulta aggiornato a 5 anni fa. Sia nel trunk, che nei vari branches.
Sappiamo per certo che nella conferenza delle regioni del 4 aprile sono stati approvati una serie di moduli:
1. Modulo SCIA Agenzie di viaggio
2. Modulo SCIA Strutture ricettive extra alberghiere
3. Modulo Variazioni in comunicazione per agenzie di viaggio
4. Modulo Variazioni in comunicazione per strutture ricettive
1. Modulo SCIA Strutture ricettive all'aria aperta
2. Modulo SCIA Strutture ricettive alberghiere
3. Modulo Scheda anagrafica
4. Modulo di Comunicazione variazioni
5. Modulo di Notifica sanitaria
Ma nel repository non c'è traccia. Quindi vi chiediamo come poter consultare tutte le modulistiche in modo smart. Nel caso anche uno zip completo ed aggiornato andrebbe bene. Anche se sappiamo bene che poi potrebbe essere soggetto ad aggiornamento.
Sempre sul tema 'moduli' vorremmo sapere se è stata aggiornata la modulistica (anche xsd) dell'AUA, rispetto a quella proposta qualche anno fa dalla Regione Lombardia.
Inoltre anche se sono presenti nel catalogo gli XSD delle seguenti modulistiche. E se non ci sono se le state prevedendo, o saranno da definire/proporre dei vari Enti:
- AUFER (autorizzazione unica energie rinnovabili)
- SCIA seguente ad AUA O ALTRE AUTORIZZAZIONI
- SCIA stazione radiobase
- Autorizzazioni emissioni in atmosfera ex art. 272 comma 2 dlgs 152/06
- SCIA bar (parte rumore)
In allegato inserisco quando ricevuto da XXX tramite Regione Lombardia, che non ritroviamo nel link github prima menzionato.

Cordialmente.
XXX (ARIA SPA - Regione Lombardia)";"Il link riportato nella richiesta (https://github.com/AgID/specifiche-tecniche-DPR-160-2010) risulta essere il repository GitHub dove è possibile consultare gli artefatti tecnici (BPMN, immagini, json-schema, openApi e sequence diagram) delle Specifiche Tecniche, utilizzato tuttora come area di lavoro del Gruppo Tecnico per le fasi di aggiornamento delle stesse.
Considerata la natura del suddetto repository e della richiesta stessa, la invitiamo a richiedere supporto ad Infocamere, tramite i suoi canali di assistenza, poichè, in qualità di gestore, provvederà a caricare tali moduli sul Catalogo SSU.

Qualora vi sia la necessità di ulteriori chiarimenti, la invitiamo a contattarci tramite il canale di messaggistica del ticket.
Le comunichiamo inoltre che, in assenza di ulteriori richieste, il presente ticket sarà chiuso automaticamente dal sistema entro 7 giorni lavorativi.";n.a.
